node_id degree
367 210
322 157
393 111
71 97
399 89
436 85
179 84
254 79
105 75
87 71
428 68
298 68
303 66
113 65
422 62
461 62
383 61
208 61
315 59
423 58
269 57
335 56
263 56
421 56
389 55
188 54
439 53
271 53
26 52
346 52
17 51
50 51
147 51
148 51
296 51
169 51
370 51
175 51
202 51
171 50
354 50
467 49
137 49
27 48
155 48
136 47
464 47
49 47
61 46
135 46
429 46
149 45
215 45
321 45
236 45
327 44
450 44
92 44
22 44
53 43
138 43
376 43
192 43
245 43
31 43
59 42
154 42
24 42
64 42
143 42
446 42
313 42
380 42
378 42
25 41
46 41
58 41
403 41
72 41
318 41
455 41
323 41
116 41
341 40
9 40
375 40
112 40
402 40
178 40
118 40
111 39
160 39
122 39
211 39
350 39
3 38
255 38
470 38
54 38
165 38
329 38
73 38
223 38
242 38
237 38
164 38
84 37
190 37
139 37
349 37
198 37
159 37
76 36
88 36
15 36
386 36
430 36
4 35
32 35
193 35
452 35
119 35
351 35
365 35
305 35
109 35
319 35
405 34
332 34
220 34
301 34
324 34
101 34
69 34
274 34
86 33
80 33
70 33
234 33
66 33
279 33
440 33
343 33
290 33
95 33
212 33
344 33
264 33
74 32
79 32
268 32
162 32
90 32
331 32
337 32
391 32
77 31
401 31
293 31
35 31
52 31
312 31
55 30
89 30
130 30
177 30
270 30
352 30
127 30
226 30
396 30
120 30
98 30
30 29
246 29
251 29
8 29
410 29
438 29
276 29
339 29
231 29
379 29
182 29
85 28
447 28
442 28
262 28
40 28
417 28
330 28
449 28
186 28
14 27
286 27
278 27
371 27
23 27
117 27
156 27
56 27
426 27
233 27
294 27
238 27
244 27
283 27
184 27
307 27
466 26
7 26
408 26
222 26
372 26
16 26
134 26
277 26
420 26
150 26
124 26
12 25
374 25
13 25
47 25
161 25
260 25
207 25
266 25
102 25
219 25
248 25
418 25
355 25
228 25
474 25
456 25
57 24
68 24
415 24
20 24
416 24
37 24
33 24
65 24
63 24
311 24
259 24
469 24
132 24
218 24
435 24
129 24
19 24
195 24
206 24
457 24
158 24
42 23
358 23
214 23
174 23
300 23
249 23
432 23
384 23
241 23
427 23
167 23
258 23
11 22
2 22
205 22
387 22
424 22
51 22
431 22
326 22
209 22
29 22
133 22
338 22
348 22
243 21
281 21
400 21
142 21
257 21
272 21
261 21
302 21
361 21
253 21
369 21
328 21
0 20
18 20
197 20
473 20
41 20
382 20
385 20
407 20
104 20
141 20
310 20
295 20
412 20
390 20
388 20
140 20
333 20
451 20
325 19
6 19
444 19
43 19
200 19
471 19
128 19
1 19
459 19
107 19
185 19
172 19
472 19
304 19
273 19
126 18
75 18
256 18
10 18
180 18
336 18
96 18
44 18
360 18
289 18
203 18
265 18
317 18
210 18
239 18
163 18
229 17
299 17
48 17
21 17
201 17
443 17
45 17
114 17
199 17
340 17
67 17
359 17
221 17
320 17
468 17
100 17
108 17
34 17
224 16
460 16
91 16
110 16
38 16
81 16
82 16
368 16
364 16
445 16
409 16
125 16
191 16
362 16
448 15
411 15
287 15
157 15
347 15
267 15
145 15
152 15
97 15
291 15
441 15
363 15
394 15
106 15
170 15
453 15
204 15
308 15
217 14
465 14
433 14
176 14
275 14
99 14
353 14
173 14
458 14
181 14
252 14
235 14
227 14
292 13
39 13
216 13
93 13
288 13
168 12
392 12
398 12
36 12
5 12
83 12
342 12
345 12
314 12
151 12
62 12
406 12
194 11
78 11
103 11
282 11
131 11
397 11
357 11
454 10
247 10
306 10
60 10
183 10
381 10
121 10
225 10
144 10
284 10
166 10
356 10
250 9
377 9
309 9
187 9
28 8
94 8
462 8
316 8
373 8
414 8
366 8
115 8
297 8
280 7
463 7
419 7
153 7
189 7
232 7
196 7
146 7
213 6
334 6
413 6
425 6
123 5
240 5
434 5
230 4
285 4
404 4
437 2
395 1
