seed node,shapley value
58604,107.0854
7011,9.8406
9738,18.7332
52565,33.6413
101,10.2788
2580,5.3316
14260,2.9023
604,2.229
105,12.0192
25,1.9359
6207,3.9788
22329,4.63
12367,5.5167
3687,39.8229
27928,16.1112
24333,5.461
98,27.1095
17133,57.8409
7669,5.3239
19781,3.6657
16929,16.9765
53535,32.1025
27057,5.8477
27063,1.8329
2671,2.3946
23184,5.4796
10780,7.0653
7835,3.2377
184,8.5611
10031,24.9256
21690,38.1946
79,1.807
1906,4.5637
1424,5.048
10211,31.9244
9674,17.2133
4790,5.5181
501,19.1815
954,10.1712
9690,4.9439
8164,8.2453
5026,10.7503
2576,11.251
13649,35.3518
7937,5.4735
1421,7.616
4444,6.1822
7833,20.7651
2623,10.5942
1692,3.2067
32507,4.0606
23515,3.604
11605,14.6989
27863,17.1731
19745,8.6692
449,3.8934
6174,3.9551
12005,12.2513
9904,2.7342
10878,5.3684
8658,4.7736
9681,6.383
1407,10.2449
3097,2.7645
55916,20.8089
19255,4.6833
4053,5.9853
1390,3.6133
29094,3.232
2984,24.9645
3291,66.99
39184,43.2143
49404,2.0349
9688,2.9598
3532,5.9362
1903,9.2431
28458,2.2378
22901,35.9178
15291,14.9363
1422,2.8529
17730,3.0809
48835,20.1756
34239,25.6905
18579,4.1423
35951,2.5631
5050,5.5858
15667,5.3016
18675,14.6325
2630,7.1436
10010,4.8121
36647,3.7871
55749,35.2324
55287,24.5736
9691,15.6852
579,13.7031
10265,38.3075
20246,4.3756
20184,22.9761
18608,25.884
24349,5.123
10209,30.8137
25177,18.2165
15749,5.7962
2628,10.0582
15832,2.9113
4851,9.23
17100,37.2368
110,2.6702
24031,9.1392
71994,25.3185
817,15.4011
53188,4.1721
43424,37.2453
3710,3.3783
5024,2.9511
173,12.491
46946,2.3563
39275,26.3087
2828,60.5074
97,2.0579
1151,4.8181
70544,37.686
46951,2.8658
16274,24.3275
156,5.9109
683,5.481
19732,5.971
3115,27.7938
10250,39.6302
28700,3.5416
15,5.0444
2653,18.2232
2769,8.3555
779,3.3409
27058,3.295
7508,2.9541
23085,19.8049
4345,5.5011
32517,3.4339
19935,53.1892
10234,4.4243
14392,4.9232
18853,3.0651
1721,7.781
23209,29.9459
165,7.7164
40851,19.8994
14199,10.0071
5000,4.2871
142,1.9879
17488,115.1941
122,1.8932
9228,14.1515
6188,30.2513
64929,20.4779
35867,1.4592
3956,4.1959
3792,4.772
16963,8.4582
21664,6.0985
15308,4.5931
158,23.2789
10733,14.2714
16142,61.0876
21,4.2983
2787,9.8955
13728,2.0196
10166,16.9763
2591,3.7581
2619,2.8607
6692,4.785
30872,3.5469
20401,4.609
27883,2.2239
1368,22.3308
3121,4.8291
10761,4.7052
40849,76.9712
64803,39.5462
55390,55.5341
4120,5.7726
33322,3.9552
6175,6.6793
1358,4.7853
6230,2.3613
38802,35.7942
1334,1.824
19749,6.7699
24558,6.2751
4153,2.427
3937,4.6528
8638,2.7116
67515,51.5216
34,3.3892
25275,76.2486
32377,47.5321
9692,4.767
51119,38.1369
66768,21.9246
7019,3.0165
1880,3.1814
94,8.3577
9899,6.3353
780,13.3295
15405,48.5141
3706,2.6192
29804,19.4313
1168,19.6677
43807,19.2692
18681,25.8063
3702,15.5483
22702,68.3551
11,4.7314
33727,6.4223
1881,7.8987
41738,2.7453
5023,3.2529
35090,1.3183
24346,5.3325
6803,18.2467
13394,48.8653
4470,2.9455
11768,5.5848
57697,22.8297
17679,9.3899
28183,54.2154
4831,9.6006
4394,13.0371
5002,6.5022
11497,34.2067
1937,39.2044
19257,19.621
11570,6.2648
11565,5.8896
2605,18.388
40,7.2134
24914,32.1367
140,3.975
61953,14.8814
15665,3.1703
11316,22.3085
45894,6.0762
14788,23.6002
11094,35.8646
3660,3.3664
26320,3.5134
11731,8.5387
16,7.9148
34386,30.1283
67964,48.9915
24923,40.4798
2275,7.1128
12847,28.2287
55817,31.7764
35,3.9236
499,8.4857
11624,5.1033
21463,3.1277
22058,9.4014
27560,4.5342
17407,3.1545
9805,11.9873
2587,3.6687
9269,5.516
44620,1.8603
3048,34.6925
7870,5.0597
32424,2.7118
34500,13.3461
12883,51.8578
96,28.6704
3674,1.7252
19883,35.7238
66765,64.1173
2387,7.2457
13661,10.4048
9216,6.4447
4986,5.9518
39643,1.7511
7360,8.1172
12335,2.8622
16374,4.2144
9713,3.4547
17118,32.9445
9767,12.755
9348,14.6955
78971,94.6933
1691,15.2773
6199,10.7316
1336,6.1553
6256,41.0554
43565,41.7809
48702,19.1247
26328,6.098
22374,2.1169
276,35.0241
8629,3.5634
8262,19.3435
41878,29.5054
19704,3.8888
65352,71.723
25034,28.9528
9708,2.5906
38746,30.7996
436,17.1684
19696,3.1445
59965,29.7879
70409,25.7365
46228,21.9139
8158,43.3844
8615,8.9224
32770,2.3588
57331,29.7553
37274,30.1698
9727,3.0185
19047,2.6545
49284,1.902
49338,1.7696
1304,5.6904
6703,2.2476
42103,6.3795
11010,14.8621
38769,76.9548
63992,13.7652
19337,44.6538
70412,16.2427
153,3.5248
76335,58.2393
15194,3.4632
3834,3.1656
18,8.0949
17096,59.874
19746,2.5496
24247,4.6059
39813,46.8378
758,4.956
12880,29.8543
66307,66.5708
37257,14.2709
15660,13.3719
37218,36.5058
12865,8.919
1550,113.6714
49276,1.8471
9232,6.8881
1321,5.7579
13601,7.0078
3381,10.7721
32566,18.678
10174,31.952
32611,40.9199
15168,5.0829
13742,3.643
7422,2.4705
4132,20.4798
23460,4.5995
18682,54.5133
49467,52.6467
1435,6.6446
1895,2.8132
27176,31.2755
22749,8.1501
24701,4.8282
15083,14.9129
3711,3.8668
76558,36.6899
41550,17.6552
9196,21.5794
32518,2.7476
1892,4.5824
2276,7.3039
67153,24.2221
13467,13.8543
19709,2.0062
13,15.855
15685,4.5971
29180,18.774
2654,5.8709
36639,2.2657
59,4.6117
19727,3.0074
1697,13.5402
59630,11.1024
2601,4.7052
8785,2.9801
107,1.7174
195,28.2864
27902,2.7398
4029,3.7875
8812,2.9099
10914,3.3315
9193,38.0208
33231,28.0389
627,3.785
55757,41.3547
10407,1.7885
1434,12.4387
49319,1.9544
61406,69.3832
39211,20.4767
14230,32.2453
1601,8.3457
540,11.7549
6262,3.274
19693,2.964
41745,1.8548
663,28.9505
51115,27.2184
6177,4.167
4303,2.5796
13527,48.7489
22926,18.7506
15786,3.7284
35893,1.9703
3567,35.6821
28207,22.7656
15937,33.5247
5242,54.1625
2618,3.4629
7390,2.5309
11735,8.3262
55774,58.4871
1751,45.7199
23478,2.6235
36660,2.6675
1443,45.4248
3658,2.6908
9810,13.1838
9280,8.3695
3047,9.1357
10132,15.4022
22848,4.7167
16115,24.8083
1863,2.0105
28759,3.1616
437,10.7057
22008,14.9353
27059,1.9716
36798,24.7624
22372,2.2056
13818,7.2386
31169,5.8911
4047,3.4325
36,11.2869
27068,4.0195
57304,35.2779
45846,4.8082
60872,44.8828
4189,14.324
89,3.6999
51027,77.6691
4055,8.2379
1780,28.5947
170,18.5448
32426,6.0686
769,5.8086
92,3.1204
17519,5.3265
2700,2.2153
3957,11.0769
15853,33.3882
3582,3.2378
53482,3.8622
2413,57.9772
588,11.513
22656,17.1727
10239,7.7219
17515,19.3597
24362,3.6306
49298,2.3195
5969,7.1319
743,4.6916
26950,24.2503
81,7.7888
4050,5.3094
32621,39.749
42088,4.8364
27890,3.6321
1926,14.4096
28455,2.9256
1091,5.0482
39614,3.113
17779,39.0655
4033,5.6586
3911,7.4693
50538,26.7604
7349,4.9609
719,9.6833
41750,4.1305
542,4.2657
52224,46.7898
1559,11.7391
134,3.1478
815,56.7157
24331,9.9727
19711,14.604
21670,2.6073
3089,46.0413
27440,57.7676
323,13.6667
20195,17.5523
7845,7.0247
2588,6.88
22173,56.9053
610,10.3805
33403,33.7663
5955,6.0442
8245,13.8785
197,16.0678
49531,56.4318
1802,37.7834
8168,27.9988
1327,22.0756
55321,39.6507
14615,32.3972
4352,10.8592
10731,23.0958
16264,3.3424
2646,2.9364
0,2.1536
33376,4.9447
53642,25.8246
40140,28.0777
53200,39.0359
27075,9.9425
18863,5.0034
28,4.0631
68348,38.398
15175,5.4091
1696,3.7333
5990,3.5593
51853,24.2496
3904,3.6132
1322,29.7306
11009,35.5468
20082,4.7585
49363,1.9196
3499,5.983
25494,7.5829
24562,18.5707
77926,60.6695
1703,9.2164
9508,57.0811
49307,2.1684
4463,2.8001
23174,23.1783
48479,36.2522
322,2.7604
7872,9.9054
3644,3.607
753,2.7138
11578,3.9053
5004,2.0447
18898,36.6604
15927,126.1822
9693,5.7969
1560,3.7915
8787,6.1549
7211,1.8796
1347,6.304
27900,3.7207
38987,4.4703
33,13.5897
23476,2.9798
1923,3.2941
20165,4.9479
10363,16.0054
7470,22.9499
50862,29.6974
7943,5.877
2705,4.2827
3733,6.8323
34383,9.8783
1364,6.1361
21649,4.6899
13413,52.4506
8155,36.8437
15295,4.4769
9705,3.7838
27556,24.4742
2124,7.4222
10881,5.0105
79361,60.769
539,4.7774
36495,36.1436
1896,5.4274
748,6.3779
319,6.4937
21922,3.7623
1142,10.4371
36486,19.6145
12357,3.8213
8172,4.3384
11966,4.1836
14068,48.9797
2674,6.2519
38938,2.5403
27859,5.4353
27460,4.8067
26786,43.3743
57664,32.121
3654,6.0661
44346,3.5986
1872,23.253
121,4.8164
2493,7.1869
28393,38.2786
25213,32.0082
1418,5.8117
1332,6.0331
39168,41.2195
44465,29.6039
49277,1.7197
31407,32.0268
4083,7.6519
14202,4.706
67,4.7048
19700,7.5004
49272,1.9686
11054,5.9556
26464,6.6509
115,3.3579
12274,33.216
69288,28.4212
40668,2.2949
66,2.099
49327,2.2293
25679,2.5185
49343,2.4546
5025,32.258
106,13.1016
746,4.3185
9210,6.4
603,6.3371
14819,29.5619
46919,31.2703
15081,38.181
14195,51.0497
818,6.6794
20837,32.7603
52149,40.4394
11748,4.7401
41736,2.3133
11093,5.1383
714,2.1158
22054,3.7084
40481,2.6909
2239,7.1864
7230,3.5134
34767,12.3465
24518,4.8425
19773,23.9336
46931,2.8645
14196,16.4417
29799,15.1976
256,12.6912
11109,8.8413
2400,15.4979
1425,6.6276
46988,17.8468
17704,6.4587
9768,4.4947
2672,1.9686
4403,3.361
10732,1.8987
31504,31.7229
767,5.7534
25944,34.6005
580,26.8999
144,27.2561
28553,9.2195
20411,3.4174
378,8.0715
3704,3.9422
29855,20.5047
35881,1.3263
24727,8.4599
38939,2.7666
37735,26.7571
4387,25.479
11434,31.2587
35882,4.0887
20181,3.064
51897,36.5225
558,4.5497
43241,31.2292
2668,5.6929
4127,12.006
39224,40.6866
1362,4.3714
3565,17.4517
21647,2.636
43880,1.1863
3909,2.9698
49323,1.8248
27571,23.7123
45770,55.2257
3638,3.5648
24061,51.6145
172,43.8199
35877,6.2663
7725,39.9387
77467,68.0683
7027,6.5645
10668,6.9415
2517,5.8453
20907,4.3407
40482,2.7294
27052,2.5155
2391,36.9407
21963,3.2917
20176,3.8451
47506,66.2071
20193,5.4219
20381,4.3178
3552,4.1475
57684,67.7248
40576,30.4696
40480,2.5441
75510,49.305
1154,11.2953
28483,5.5566
22331,2.3125
17829,6.2216
76,2.2446
40600,31.6692
7367,4.1443
58061,118.1637
1346,6.424
20382,5.737
35892,2.7124
2720,3.0986
1532,4.1506
23463,3.7461
7362,20.6023
24050,30.148
1370,3.7698
309,38.3871
2050,19.9626
572,4.4448
185,13.3546
8763,1.9979
58080,2.8896
27858,2.3221
13816,6.6459
3528,4.8337
41811,36.0678
8764,5.293
78456,33.1357
3724,10.6296
21658,10.5253
42093,5.744
35878,1.8498
3666,7.3921
15974,21.4494
34722,28.451
59947,26.0815
6198,5.4772
24897,2.3675
14468,9.3582
21201,2.7697
15297,4.8894
53945,46.3339
20183,1.9036
49,12.2097
27201,11.3353
4332,2.7601
752,11.2109
22350,4.7043
3722,2.8872
6000,20.2248
1739,4.499
4827,8.8167
1356,3.4803
188,14.2063
151,8.3163
8614,2.9675
6082,4.7026
44321,5.2368
23471,2.9058
2702,13.4654
4267,4.3261
24528,2.9756
19729,3.5255
136,4.4712
36949,4.7707
76921,38.7317
1804,9.3689
1377,3.7215
