seed node,shapley value
15083,14.9628
4352,10.8922
140,3.9864
1434,12.4646
663,28.861
136,4.464
32377,47.5548
8785,2.9594
24562,18.5292
1346,6.4812
41844,2.9486
41878,29.3996
7833,20.785
11768,5.535
11570,6.2972
4127,12.0218
24061,51.6498
36637,3.559
3957,11.0358
3722,2.8866
3009,4.9088
28393,38.2418
21463,3.0906
9692,4.7786
21668,3.4944
11748,4.7482
5050,5.556
24331,10.0062
49361,2.2782
3666,7.3458
39614,3.127
39482,16.9384
37274,30.2018
10878,5.3714
6000,20.2304
2628,10.086
588,11.5004
9688,2.9568
1421,7.6696
1322,29.7152
7845,6.9928
123,12.902
40851,19.9106
2588,6.8098
23515,3.6276
542,4.2666
18682,54.504
3674,1.731
20246,4.3884
21757,31.5394
18853,3.0566
3710,3.3434
1368,22.249
65352,71.6858
22702,68.2916
4496,3.9488
11966,4.194
27858,2.2808
27571,23.632
39275,26.2832
579,13.6238
71963,26.8082
9681,6.38
322,2.7718
12005,12.2122
29094,3.2368
49,12.2764
51119,38.1452
8163,2.2354
19700,7.5074
10668,6.9006
7011,9.8886
6174,3.91
748,6.3516
13816,6.6978
183,47.6002
15194,3.4912
1424,5.0478
1362,4.333
40480,2.5572
13742,3.6278
57684,67.7332
16963,8.5188
6207,3.9406
66,2.0894
714,2.1186
42492,24.3658
27887,4.448
1422,2.8314
34,3.3906
3083,28.8096
19729,3.536
2387,7.238
12363,4.3102
11316,22.348
15175,5.3734
4153,2.4478
28553,9.1756
51897,36.5258
34767,12.2672
758,4.8922
45,10.8126
22336,3.295
76335,58.271
3654,6.093
3909,2.9846
28207,22.7932
21670,2.5776
319,6.5426
15308,4.5766
4463,2.806
19711,14.6522
19746,2.5236
8276,8.0112
55817,31.8306
197,16.1096
604,2.244
2637,7.8766
55749,35.2584
15297,4.9614
36498,14.5394
36490,31.2982
18,8.05
6273,36.613
769,5.8352
45984,29.6188
27176,31.2238
10174,31.8456
22643,33.058
10250,39.5554
1550,113.9226
9705,3.7676
1711,5.6078
1390,3.6506
16,7.9154
17100,37.3122
13601,6.9746
170,18.565
39,2.7418
58080,2.8722
21,4.3028
11565,5.8466
4478,4.1066
70412,16.1426
37218,36.5688
10132,15.4118
2984,24.8922
3097,2.7696
1364,6.091
34386,30.1196
142,1.9668
19883,35.7778
9674,17.1966
3660,3.369
20195,17.534
3658,2.7046
66412,43.314
4047,3.4574
144,27.2572
4831,9.5414
57697,22.8912
9426,9.317
36,11.3174
2631,8.4672
13649,35.328
24247,4.5764
8164,8.2744
20184,22.9594
11722,22.0112
24914,32.2238
28458,2.2586
9210,6.3724
15168,5.0598
32770,2.3456
9767,12.6654
10407,1.8036
35893,1.975
9280,8.3576
41550,17.6778
10363,16.0152
2720,3.0406
3644,3.6204
77926,60.6712
3719,4.7172
1559,11.8046
39184,43.1846
14574,10.2464
2615,4.0194
2618,3.447
10211,31.9616
1168,19.7498
26328,6.037
1378,7.761
501,19.2138
44465,29.5826
1890,6.2954
96,28.7546
535,14.0168
173,12.5156
603,6.2994
10166,16.9528
32566,18.6828
2623,10.5934
83,3.0842
55757,41.4024
9899,6.34
61406,69.4816
151,8.3382
2604,3.2246
4120,5.7214
11315,48.1656
36447,2.4772
57331,29.853
554,9.2272
818,6.6858
10732,1.9146
4482,4.6232
24558,6.2744
2124,7.357
767,5.7168
5023,3.3198
60872,44.7788
2459,10.9046
27560,4.5078
43807,19.2554
5024,2.9388
27052,2.536
15937,33.5636
32440,14.8792
4452,2.8304
1142,10.5172
22198,79.3662
4827,8.7992
4986,5.994
6206,17.6708
1739,4.5112
5001,3.7406
28454,2.2052
2700,2.2238
24346,5.3372
4437,4.4964
2828,60.5974
3911,7.4576
40452,3.9812
4303,2.604
13527,48.8442
97,2.09
31233,5.4808
49323,1.8204
15053,27.3658
89,3.6628
1927,4.2456
7470,22.9164
20401,4.634
19272,43.7326
1328,56.2612
44,1.9982
32428,19.4506
106,13.0926
15671,3.6494
38987,4.4738
14196,16.4376
7870,5.0464
9691,15.6592
27859,5.4046
18681,25.8164
1332,6.0152
59027,56.7494
53642,25.841
24031,9.1852
683,5.496
7367,4.1942
32578,5.3804
10265,38.3176
11010,14.7778
8168,28.042
24128,39.2964
7027,6.6006
1399,17.8458
14195,51.0634
22329,4.622
9805,12.0402
3792,4.7384
36483,35.2108
19732,5.9562
14199,9.9928
29799,15.28
9196,21.635
2969,61.4338
78456,33.0936
10209,30.7752
5026,10.6962
12883,51.8716
1423,5.2166
1881,7.8786
6262,3.294
59965,29.7838
11731,8.5646
19704,3.925
49319,1.9528
58061,118.1996
43880,1.186
1336,6.0872
4403,3.3664
2654,5.8592
1896,5.436
3956,4.1616
55916,20.7374
27928,16.099
45871,2.775
6703,2.1846
49338,1.7932
3565,17.4024
15322,26.642
8262,19.4358
10430,4.1926
2605,18.4278
5016,5.9728
4431,8.2994
63992,13.798
7390,2.5302
