seed node,shapley value
8812,7.9982
2239,20.3471
25275,109.1407
9216,13.9208
39,9.2836
1780,45.5212
37218,67.9517
3719,11.7761
2391,51.1004
24897,9.1346
29804,25.3805
752,29.2848
18898,64.7802
10363,17.4922
25177,28.948
10265,53.0452
11570,17.8281
58061,145.038
15,9.2336
4120,26.6057
27883,4.881
2415,86.5644
28393,52.9044
106,34.9892
26786,66.3061
3638,7.852
1370,11.2073
1434,20.0489
35,7.8957
38952,10.2994
5955,14.7575
26558,54.3591
3291,110.6516
42093,12.3778
17679,20.5376
1739,10.3838
27052,6.8589
67,9.5487
10211,56.8215
10914,10.9494
41811,52.7386
61953,32.1373
33727,28.7661
8785,7.239
5024,8.0412
3105,11.3753
64782,73.0557
20907,16.0544
40849,107.7418
59630,17.9224
4387,75.7887
9691,17.7205
17779,85.4502
11315,113.8839
44620,4.5715
17118,66.3081
8629,9.6202
20176,7.2708
51027,101.1338
46228,34.7718
75510,76.2826
11094,77.0867
1091,11.6713
28203,87.563
7230,8.5739
4352,19.6933
5002,20.8291
3706,9.454
11624,18.0826
579,35.7075
7011,21.6059
627,12.8867
378,50.6759
70409,43.8127
22008,28.8691
19244,10.4387
38746,74.1012
24701,9.4941
24346,8.8908
53535,53.4874
767,10.9883
11966,11.6888
9688,10.4513
15083,21.5622
22336,8.2621
13728,6.567
17829,15.7211
16929,32.6023
21263,15.7323
5001,8.3096
94,17.1935
57664,57.6135
52565,65.1603
39813,63.1544
2576,18.273
35893,2.5467
17488,167.8545
38376,106.6506
10010,12.6457
3089,64.6668
22329,8.9681
2700,5.595
9751,43.8795
36949,24.7966
2623,34.1826
3049,83.627
1601,21.8651
15081,81.4972
4189,28.4146
102,9.6673
1697,37.9824
22173,75.9619
23476,7.5019
2614,10.0673
2387,18.2125
24923,68.3324
31407,55.6686
1696,7.9389
4332,8.876
1550,231.1262
21201,7.5297
2275,13.3483
1334,3.645
45894,29.48
2672,6.6509
15927,134.8118
65352,95.2633
38796,38.8595
40452,8.5342
6175,15.6455
5611,26.699
15640,6.7385
1346,11.818
23998,77.222
36490,50.8879
36486,29.9845
53188,16.2848
5004,4.8035
9199,16.9827
19700,15.1417
7833,33.3713
3654,12.2663
43807,39.1397
11804,52.0626
21463,11.0464
19746,4.1916
2459,27.027
9768,8.912
4034,33.7592
10170,18.4042
23480,6.3588
580,62.892
1425,20.2562
6000,40.2422
53642,43.3438
27057,13.9055
18862,37.4174
55749,43.0759
33376,17.1729
780,23.1225
6199,23.3676
53945,82.8158
42088,9.5537
27863,21.6309
540,29.1007
67515,79.3827
28458,5.8642
50538,56.0268
3911,16.4678
69288,60.3767
9492,66.467
319,16.7261
3565,42.7324
20082,10.8176
15634,10.8527
43424,53.4819
1154,38.7712
12357,10.6575
58159,34.6146
28483,14.6985
17086,80.3192
4790,18.4365
9674,25.8882
57697,40.0258
52224,57.7359
35951,5.8921
