seed node,shapley value
1421,6.2639
36447,1.7667
61953,15.2581
4352,10.5335
22350,5.7285
29799,14.5354
9727,4.0153
49332,2.4092
55321,44.7304
28,3.3729
67964,50.3519
1332,5.434
11804,25.0555
10430,4.283
1890,5.9159
64803,37.9044
9672,3.8815
14230,33.6214
17735,9.0746
23478,2.1683
8276,9.5296
27059,2.7572
2615,5.086
17086,53.7247
37274,34.4513
39482,17.5067
18579,2.0344
3528,4.8451
5002,6.0497
3009,4.7916
880,29.7801
9492,12.6883
15175,6.7189
2631,6.9465
9681,5.086
8172,4.5507
33322,5.675
78456,34.8528
21658,9.9044
24528,3.9885
499,8.2314
49361,1.2849
49531,58.3825
61406,70.1874
32578,5.8088
13742,4.3365
27063,1.847
39119,31.8547
8262,20.5048
32507,4.7916
39643,0.9637
4478,4.7381
55774,52.4398
1364,5.6214
534,3.1319
10,6.0899
67651,19.9694
12883,57.9006
1377,2.6769
25213,31.9618
436,16.2218
2591,4.3098
24362,2.9178
52224,46.2563
1804,9.2352
558,3.9885
22656,17.1855
10668,6.1568
1721,8.3251
35893,1.0172
38746,29.8738
31407,32.7648
10764,7.0134
24050,33.8624
2662,4.1759
39168,41.3576
2459,12.9828
3710,4.0153
18,8.3652
2050,19.4073
45546,45.4532
27556,23.3423
32426,5.5411
183,44.088
25151,52.413
79361,60.3901
19741,6.3709
11093,6.3977
142,1.7132
1696,3.935
3674,1.6864
27560,5.0325
19729,4.3098
1780,29.2314
7367,5.782
42093,7.0402
1142,10.4933
19714,2.5163
3539,38.9484
6199,9.8509
49343,2.9713
11315,49.3614
49319,1.74
15308,4.1759
18853,3.3729
5024,3.1052
752,9.369
20246,5.8623
35951,2.8642
7682,5.3403
53482,3.5602
3660,3.2122
36639,2.4895
8158,47.4608
6803,18.1492
23998,42.9637
20183,1.4455
21670,2.4092
3115,27.545
17407,3.2122
7349,5.3002
1424,5.8088
123,11.2562
779,2.4627
18681,25.3767
3697,2.7358
52278,65.1416
40,6.9331
323,11.7247
12357,3.0516
1906,4.6042
2587,3.9885
42088,5.3805
22008,14.348
9754,31.6406
8812,3.2925
17488,114.2487
57697,23.8241
19704,3.6807
6000,21.4417
51897,35.174
32566,18.8451
24914,27.0631
18675,12.3671
10761,5.0325
57331,30.1148
579,13.7056
41750,6.478
8245,15.0708
580,24.7476
1362,6.9063
32518,3.3461
15832,2.1683
2618,3.2925
11054,5.5411
39614,2.1683
22749,8.3251
494,10.3862
39813,46.6578
28458,2.4092
153,4.0153
1892,5.0325
19700,8.3652
24331,8.8069
156,4.7113
28393,37.4226
51119,35.8165
15322,25.2964
8638,3.1855
2601,5.9426
3687,36.0574
6206,16.8643
1425,5.675
102,3.4933
45,8.5124
7362,21.3614
10407,2.8107
40668,3.2658
28207,22.6195
767,5.4073
24001,25.3767
12847,32.9255
17829,6.5048
10031,28.6692
6262,3.2925
5242,62.5584
13816,6.6654
45894,5.3537
9713,3.6138
11624,3.3729
21757,33.5411
1418,5.9694
27571,24.4398
3706,2.6903
