seed node,shapley value
2459,72.394
1142,63.7166
21658,55.3597
21649,65.1025
880,231.8228
9196,114.2443
123,90.8469
2630,50.9208
173,59.9874
2580,62.7391
1703,83.592
19711,83.5614
2969,501.4501
1896,58.8605
780,101.6251
27859,44.7944
24333,35.5455
19749,53.058
8262,113.8103
326,41.1223
8764,63.1169
9767,88.8861
6199,75.2452
2651,38.5637
2588,62.7345
1407,29.3241
3644,55.0777
7872,74.685
4034,138.1942
2631,65.2779
19694,45.9347
9810,51.8355
20,46.3761
3710,70.99
1154,89.6108
19257,50.5056
13818,43.9567
67,34.474
11009,104.4493
2585,99.321
535,70.7694
20165,51.2174
2599,57.4393
2415,233.4511
437,97.3776
35877,55.6423
499,93.6592
580,193.9885
663,388.7375
36,54.2827
94,48.959
1168,128.1232
1751,217.3136
16274,124.9016
2654,83.0967
9690,76.1447
101,59.1338
1328,351.1082
59,33.2593
1327,229.832
5002,90.2754
15175,95.0286
18,61.3284
603,75.0585
501,96.5457
3702,191.5766
15168,60.2036
16929,52.4484
40,44.6172
19682,90.8943
3666,86.0432
2787,73.2461
24349,45.1201
610,115.1416
12865,46.5176
579,125.739
801,89.7463
13,95.2323
2615,47.3447
554,62.5619
21,59.4382
1449,91.8954
22361,36.72
65,52.8033
448,59.3657
3687,243.1067
165,67.4796
719,61.3853
9348,178.7611
3047,63.0511
4431,69.8172
2413,252.2627
1550,437.1387
2591,60.7776
5026,71.6034
3724,59.4981
1881,59.3946
5000,68.1414
20166,66.0718
151,48.7563
