seed node,shapley value
5002,8.1301
20,6.1987
9767,14.5192
19682,17.6147
437,12.5744
2588,8.0064
2654,7.097
15175,6.4143
24333,6.7421
1449,9.7892
21649,5.854
4431,10.3197
554,10.3969
448,8.2303
9348,17.9392
19749,8.2335
24349,6.3203
20165,5.9898
1327,25.6127
2651,5.5731
59,5.679
8764,6.2232
4034,16.305
2413,64.154
3047,10.0031
94,9.7288
603,7.6989
535,15.8627
326,5.6943
165,9.6234
663,31.3865
610,12.0226
1142,11.4491
2631,9.5627
5000,5.1107
7872,10.9372
1751,50.325
2630,7.8389
27859,6.4442
13,19.2432
1896,6.8228
101,12.3074
1550,127.2126
2591,4.6205
3702,18.6247
2969,69.9118
16929,19.1684
18,9.7304
1407,10.9463
9690,6.3992
21,5.4197
36,13.2236
880,35.2207
3710,4.4394
3644,4.5081
8262,20.5257
5026,11.8271
1168,22.0786
22361,7.7007
580,31.3112
20166,10.0572
2585,11.0933
3687,45.395
3666,8.9883
16274,27.0435
2599,7.7575
9810,14.4412
1881,9.2912
2615,4.6334
9196,24.0799
123,15.3999
1703,10.7654
40,8.7461
19711,17.4303
2415,39.6904
2459,12.3057
501,21.5335
35877,7.4744
1154,12.9384
19694,7.352
579,16.4524
801,8.9408
780,16.1775
65,8.4422
15168,6.3537
11009,38.5957
1328,67.3912
6199,11.9306
21658,11.9922
13818,7.7732
2787,11.0841
173,13.3342
499,10.0934
151,9.7686
3724,11.6775
2580,6.4284
719,10.6039
67,5.7351
19257,22.6205
12865,9.5089
