seed node,shapley value
12865,46.1396
1896,59.119
2651,36.982
2615,48.4144
3710,72.6496
2580,63.7348
24333,36.756
2413,251.1732
15175,99.6794
59,33.6862
27859,48.5962
9196,118.4488
1154,92.2256
19682,87.3368
579,121.7504
580,194.8946
880,227.4918
1751,215.1312
3687,243.0328
3666,85.738
165,68.3872
21,57.1954
1327,231.6218
13818,46.017
2415,235.024
2969,493.5586
663,389.5688
16274,130.6626
1407,27.3012
9810,50.6688
36,56.4014
1449,95.1454
22361,40.2322
20165,53.2704
2459,74.792
780,99.9034
67,32.534
94,47.6106
8262,113.2242
6199,82.0638
5002,92.8878
18,62.604
1328,359.9022
3724,58.6476
3644,55.0512
35877,56.3972
2631,67.6788
11009,106.2728
1142,64.6492
3047,62.0132
499,90.1362
2591,62.0424
5026,72.2264
5000,67.1084
2585,96.7976
13,96.0282
9690,80.8238
801,90.172
2654,86.68
4034,139.9802
8764,67.6226
16929,52.5974
21658,56.4062
2787,74.0512
21649,68.6034
151,48.0726
7872,75.2916
65,53.6956
448,58.953
4431,71.732
173,58.521
3702,188.6338
1881,60.1498
610,113.9926
2599,57.5082
326,45.62
9348,170.0096
554,64.0296
603,76.6724
19694,40.849
40,40.3106
20,47.7376
101,55.3904
20166,63.7712
501,96.1318
2588,61.6314
1703,82.5938
1168,127.6106
19749,49.2788
9767,87.9604
15168,61.1838
437,95.806
719,60.7394
535,70.9802
19711,80.4104
123,87.2076
24349,42.8074
1550,433.566
19257,49.6118
2630,47.868
